title,director,cast,country,date_added,release_year,rating,listed_in,description,duration_in_minutes
"About Time","Richard Curtis","Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson, Lindsay Duncan, Richard Cordery, Tom Hollander, Margot Robbie, Joshua McGuire, Vanessa Kirby","United Kingdom","2019-04-16 00:00:00",2013,R,"Comedies, Dramas, International Movies","When Tim learns that the men in his family can travel in time and change their own lives, he decides to go back and win the woman of his dreams.",123
Abzurdah,"Daniela Goggi","Eugenia Suárez, Esteban Lamothe, Gloria Carrá, Rafael Spregelburd, Tomás Ottaviano, Julieta Gullo, Zoe Hochbaum, Lucia Carolina Pecrul",Argentina,"2016-08-25 00:00:00",2015,TV-MA,"Dramas, International Movies","A disenfranchised 16-year-old girl connects to an older man on the internet and after a brief one-sided affair descends into obsession and anorexia.",90
"Acapulco La vida va","Alfonso Serrano Maturino","Patricio Castillo, Sergio Bustamante, Alejandro Suárez, Luz María Jerez, Bob Isaacs, Tere Monroy",Mexico,"2017-06-03 00:00:00",2016,TV-MA,"Comedies, Dramas, International Movies","Three lifelong friends travel to Acapulco ostensibly so one of them can find his lost love, but the real reason behind the trip holds some surprises.",89
Accident,"Cheang Pou Soi","Louis Koo, Richie Ren, Stanley Fung Sui-Fan, Michelle Ye, Lam Suet, Alexander Chan, Monica Mok","Hong Kong","2018-12-01 00:00:00",2009,TV-MA,"International Movies, Thrillers","A contract killer skilled at staging lethal accidents fears he may be a victim of his own strategy when an accomplice dies in a mysterious mishap.",87
"Across Grace Alley","Ralph Macchio","Ben Hyland, Marsha Mason, Karina Smirnoff, Colin Branca, Ralph Macchio, Tricia Paoluccio","United States","2016-12-01 00:00:00",2013,TV-PG,Dramas,"A young boy, upset by his parents' divorce, becomes infatuated with his grandmother's neighbor, an entrancing dancer he watches through a window.",24
"Across The Line","Julien Christian Lutz","Sarah Jeffery, Simon Paul Mutuyimana, Denis Theriault, Jeremiah Sparks, Steven Love, Cara Ricketts, Jim Codrington, Shamier Anderson, Stephan James, Lanette Ware, Hugh Thompson",Canada,"2019-04-01 00:00:00",2015,TV-MA,"Dramas, Sports Movies","A black high school student sets his sights for the National Hockey League, but rising racial tensions in his community may jeopardize his goals.",88
"Across the Universe","Julie Taymor","Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs, Martin Luther, James Urbaniak, T.V. Carpio, Spencer Liff","United States, United Kingdom","2019-01-01 00:00:00",2007,PG-13,"Dramas, Music & Musicals, Romantic Movies","An American girl and a British lad fall in love amid the social and political upheaval of the 1960s, in this musical featuring songs by the Beatles.",133
"Act of Valor","Mike McCoy, Scott Waugh","Keo Woolford, Drea Castro, Emilio Rivera, Rorke Denver, Jason Cottle, Ailsa Marshall, Alex Veadov, Dave, Roselyn Sanchez, Thomas Rosales Jr., Nestor Serrano, Gonzalo Menendez","United States","2020-06-01 00:00:00",2012,R,"Action & Adventure","An elite squad of Navy SEALs is tasked with rescuing a kidnapped CIA agent from a lethal terrorist cell.",110
"Act of Vengeance","Mahsun Kırmızıgül","Haluk Bilginer, Mahsun Kırmızıgül, Mustafa Sandal, Gina Gershon, Robert Patrick, Danny Glover, Engin Altan Düzyatan, Scott William Winters, Sharrieff Pugh","Turkey, United States","2018-09-29 00:00:00",2010,NR,"Action & Adventure, International Movies","Two Turkish agents are sent to New York City on a mission to capture a notorious terrorist known only as "Dejjal" (Arabic for Antichrist).",112
"Action Replayy","Vipul Amrutlal Shah","Akshay Kumar, Aishwarya Rai Bachchan, Om Puri, Kiron Kher, Neha Dhupia, Rannvijay Singh, Aditya Roy Kapur, Sudeepa Singh, Randhir Kapoor, Rajpal Yadav",India,"2020-05-11 00:00:00",2010,TV-PG,"Children & Family Movies, Comedies, International Movies","Sick of his parents’ constant squabbling, a young man travels back in time to the onset of their romance, with plans to set them up for marital bliss.",129
"Acts of Vengeance","Isaac Florentine","Antonio Banderas, Karl Urban, Paz Vega, Robert Forster, Clint Dyer, Cristina Serafini, Lillian Blankenship, Atanas Srebrev, Mark Rhino Smith","Bulgaria, United States","2018-01-25 00:00:00",2017,R,"Action & Adventure, International Movies","Devastated by the murder of his wife and child, a formerly fast-talking lawyer takes a vow of silence and trains himself for a mission of revenge.",87
"Acts of Violence","Brett Donowho","Cole Hauser, Bruce Willis, Shawn Ashmore, Ashton Holmes, Melissa Bolona, Patrick St. Esprit, Sophia Bush, Mike Epps",Canada,"2020-08-01 00:00:00",2018,R,"Action & Adventure","When his future sister-in-law is kidnapped by human traffickers, a military veteran joins forces with his brothers and a world-weary cop to rescue her.",87
Adú,"Salvador Calvo","Luis Tosar, Anna Castillo, Álvaro Cervantes, Miquel Fernández, Jesús Carroza, Moustapha Oumarou, Adam Nourou, Zayidiyya Dissou, Ana Wagener, Nora Navas",Spain,"2020-07-01 00:00:00",2020,TV-MA,"Dramas, International Movies","Near a Spanish town in northern Africa, a child takes a painful journey, a father reconnects with his daughter and a coast guard is guilt stricken.",120
"Adam Devine: Best Time of Our Lives","Jay Karas","Adam Devine","United States","2019-06-18 00:00:00",2019,TV-MA,"Stand-Up Comedy","Frenetic comic Adam Devine talks teen awkwardness, celebrity encounters, his "Pitch Perfect" audition and more in a special from his hometown of Omaha.",59
"ADAM SANDLER 100% FRESH","Steve Brill","Adam Sandler","United States","2018-10-23 00:00:00",2018,TV-MA,"Stand-Up Comedy","From "Heroes" to "Ice Cream Ladies" – Adam Sandler's comedy special hits you with new songs and jokes in an unexpected, groundbreaking way.",74
"Adam: His Song Continues","Robert Markowitz","Daniel J. Travanti, JoBeth Williams, Richard Masur, Martha Scott, Paul Regina","United States","2011-10-01 00:00:00",1986,TV-MA,Dramas,"After their child was abducted and murdered, John and Reve Walsh fought to raise national awareness of the problem of missing children.",96
"Addicted to Life","Thierry Donard","Antoine Bizet, Jesse Richman, Karsten Gefle, Wille Lindberg, Matahi Drollet, Mathias Wyss, Matt Annetts",France,"2020-06-12 00:00:00",2014,TV-14,"Action & Adventure, Documentaries, International Movies","Chasing extreme challenges, athletic daredevils test their limits in various environments from giant waves to snowy slopes around the world.",91
"Adel Karam: Live from Beirut",NULL,"Adel Karam","United States","2018-03-01 00:00:00",2018,TV-MA,"Stand-Up Comedy","From Casino du Liban, Lebanese actor and comedian Adel Karam delivers earthy punchlines on kissing norms, colonoscopies and a porn star named Rocco.",59
Adhugo,NULL,NULL,India,"2019-01-15 00:00:00",2018,TV-14,"Comedies, International Movies, Thrillers","A fast-footed piglet named Bunty becomes an object of desire for rival criminals that want the swift swine for their profitable animal-racing schemes.",105
"Aditi Mittal: Things They Wouldn't Let Me Say","Fazila Allana","Aditi Mittal",India,"2017-07-18 00:00:00",2017,TV-MA,"Stand-Up Comedy","Trailblazing comic Aditi Mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of Indian movie ratings.",63
Adore,"Anne Fontaine","Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville, Ben Mendelsohn, Jessica Tovey, Sophie Lowe, Gary Sweet, Alyson Standen, Skye Sutherland, Sarah Henderson","Australia, France","2019-11-20 00:00:00",2013,R,"Dramas, Independent Movies, International Movies","When lifelong friends Roz and Lil fall in love with each other's teenage sons, they must carry out their affairs in relative secrecy.",111
Adrift,"Baltasar Kormákur","Shailene Woodley, Sam Claflin, Jeffrey Thomas, Elizabeth Hawthorne","Hong Kong, Iceland, United States","2020-09-01 00:00:00",2018,PG-13,"Action & Adventure, Dramas, Romantic Movies","A young couple’s sailing adventure becomes a fight to survive when their yacht faces a catastrophic hurricane in this story based on true events.",96
Adrishya,"Sandeep Chatterjee","Ravi Kumar, Ayesha Singh, Nishat Mallick, Archana Kotwal, Rakesh Chaturvedi Om, Nidhi Mahavan, Abhijit Sinha, Abdur Rehman",India,"2019-12-31 00:00:00",2017,TV-14,"Horror Movies, Independent Movies, International Movies","A family’s harmonious existence is interrupted when the young son begins showing symptoms of anxiety that seem linked to disturbing events at home.",99
Advantageous,"Jennifer Phang","Jacqueline Kim, James Urbaniak, Freya Adams, Ken Jeong, Jennifer Ehle, Samantha Kim, Troi Zee, Olivia Horton, Jennifer Ikeda, Mercedes Griffeth","United States","2015-06-23 00:00:00",2015,TV-MA,"Dramas, Independent Movies, Sci-Fi & Fantasy","In order to keep her job at a biomedical engineering firm that prizes youth, a middle-aged woman must submit to a drastic experimental procedure.",92
"Adventures in Public School","Kyle Rideout","Daniel Doheny, Judy Greer, Siobhan Williams, Russell Peters, Grace Park, Andrew McNee, Alex Barima, Andrew Herr, Eva Day, Josh Epstein","Canada, United States","2018-08-15 00:00:00",2018,NR,Comedies,"After years of home-schooling, an awkward teen decides he wants a public high school experience, but his overbearing mother struggles to let go.",86
Aerials,"S.A. Zaidi","Saga Alyasery, Ana Druzhynina, Mansour Al Felei, Mohammad Abu Diak, Pascale Matar, Luke Coutts, Abeer Mohammed","United Arab Emirates","2020-05-07 00:00:00",2016,TV-14,"International Movies, Sci-Fi & Fantasy","Dubai residents struggle to figure out why a fleet of alien spaceships are hovering over their city when all contact with the outside world is cut off.",90
"Afonso Padilha: Classless","Junior Carelli, Rudge Campos","Afonso Padilha",Brazil,"2020-09-03 00:00:00",2020,TV-MA,"Stand-Up Comedy","Brazilian comedian Afonso Padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set.",63
After,"Jenny Gage","Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Inanna Sarkis, Shane Paul McGhie, Pia Mia, Khadijha Red Thunder, Dylan Arnold, Samuel Larsen, Jennifer Beals, Peter Gallagher","United States","2019-10-09 00:00:00",2019,PG-13,"Dramas, Romantic Movies","Wholesome college freshman Tessa Young thinks she knows what she wants out of life, until she crosses paths with complicated bad boy Hardin Scott.",106
"After Maria","Nadia Hallgren",NULL,"United States","2019-05-24 00:00:00",2019,TV-PG,Documentaries,"Displaced by Hurricane Maria, three Puerto Rican women navigate their families' uncertain futures as their federal housing aid in New York expires.",38
"After Porn Ends","Bryce Wagoner",NULL,"United States","2019-05-27 00:00:00",2012,NR,Documentaries,"This documentary explores the careers of some of porn's top stars and examines their adjustment to "normal" society after leaving adult entertainment.",93
"After Porn Ends 3","Brittany Andrews",NULL,"United States","2018-12-30 00:00:00",2018,TV-MA,Documentaries,"This third installment in a documentary series examines the lives of the adult film genre's biggest stars after their industry careers have ended.",87
"After the Raid","Rodrigo Reyes",NULL,"United States, Mexico","2019-12-19 00:00:00",2019,TV-PG,"Documentaries, International Movies","A large immigration raid in a small town leaves emotional fallout and hard questions for its churchgoers about what it means to love thy neighbor.",25
"After We Collided","Roger Kumble","Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse, Selma Blair, Louise Lombard, Shane Paul McGhie, Candice King, Charlie Weber, Khadijha Red Thunder, Inanna Sarkis, Pia Mia, Samuel Larsen, Dylan Arnold, Karimah Westbrook, Rob Estes","United States","2020-12-22 00:00:00",2020,R,"Dramas, Romantic Movies","Tessa fell hard and fast for Hardin, but after a betrayal tears them apart, she must decide whether to move on — or trust him with a second chance.",105
Aftermath,"Elliott Lester","Arnold Schwarzenegger, Scoot McNairy, Maggie Grace, Judah Nelson, Glenn Morshower, Hannah Ware, Mo McRae, Martin Donovan, Larry Sullivan, Mariana Klaveno, Kevin Zegers, Lewis Pullman","United Kingdom, United States","2020-03-15 00:00:00",2017,R,Dramas,"After an air traffic controller's mistake results in a tragic accident, a man who lost his wife and daughter seeks answers from the man responsible.",94
Afterschool,"Antonio Campos","Ezra Miller, Addison Timlin, Jeremy Allen White, Michael Stuhlbarg, Emory Cohen, David Costabile, Rosemarie DeWitt, Dariusz M. Uczkowski, Gary Wilmes, Paul Sparks, Alexandra Neil, Lee Wilkof","United States","2020-08-13 00:00:00",2008,TV-MA,"Dramas, Independent Movies","When a prep school loner films two classmates overdosing on cocaine, his footage plays a role in the emotional fallout within the school community.",107
Aftershock,"Nicolás López","Eli Roth, Andrea Osvárt, Ariel Levy, Natasha Yarovenko, Nicolás Martínez, Lorenza Izzo, Marcial Tagle, Ramón Llao, Ignacia Allamand, Paz Bascuñán","United States, Chile","2018-03-07 00:00:00",2012,R,"Action & Adventure, Horror Movies","An American tourist and his friends are partying in Chile, but a major earthquake devastates the area and forces them to scramble for survival.",89
"Agatha and the Truth of Murder","Terry Loane","Ruth Bradley, Pippa Haywood, Dean Andrews, Bebe Cave, Blake Harrison, Tim McInnerny, Ralph Ineson, Michael McElhatton","United Kingdom","2019-01-31 00:00:00",2018,TV-MA,Dramas,"In a dramatized depiction of her 11-day disappearance, novelist Agatha Christie solving a real murder amid a crisis in her writing and marriage.",92
"Aggretsuko: We Wish You a Metal Christmas",Rarecho,"Kaolip, Shingo Kato, Komegumi Koiwasaki, Maki Tsuruta, Sohta Arai, Rina Inoue, Yuki Takahashi, Rarecho",Japan,"2018-12-20 00:00:00",2018,TV-PG,Movies,"While Retsuko desperately makes plans for Christmas Eve, her new obsession with seeking validation through social media spirals out of control.",22
Agneepath,"Mukul Anand","Amitabh Bachchan, Mithun Chakraborty, Danny Denzongpa, Madhavi, Neelam, Alok Nath, Rohini Hattangadi, Tinnu Anand, Vikram Gokhale, Archana Puran Singh",India,"2020-04-01 00:00:00",1990,TV-14,"Dramas, International Movies","A boy grows up to become a gangster in pursuit of the mobster who killed his innocent father, but revenge and reparation may come at great costs.",174
"Agustín Aristarán: Soy Rada","Mariano Baez","Agustín Aristarán",Argentina,"2018-02-16 00:00:00",2018,TV-MA,"Stand-Up Comedy","Argentine comedian Agustín "Radagast" Aristarán adds doses of magic, music and acting to his high-energy stand-up routine.",60
Agyaat,"Ram Gopal Varma","Adesh Bhardwaj, Rasika Dugal, Joy Fernandes, Ravi Kale, Ishtiyak Khan, Priyanka Kothari, Kali Prasad Mukherjee, Nitin Reddy, Gautam Rode, Howard Rosemeyer",India,"2018-10-01 00:00:00",2009,TV-14,"Horror Movies, International Movies","A film crew shooting in a remote forested location begins losing members one by one to a mysterious entity that they cannot see or hear.",97
"Ahista Ahista","Shivam Nair","Abhay Deol, Soha Ali Khan, Shayan Munshi, Kamini Khanna, Sohrab Ardeshir, Murad Ali, Shakeel Khan, Natasha Sinha, Brijendra Kala",India,"2019-12-31 00:00:00",2006,TV-14,"Dramas, International Movies, Romantic Movies","Stood up by her groom at the altar, a young woman finds help and healing from another man – until her ex-fiancé returns, hoping to win her back.",122
